date,deaths,status
2006-07-12,3,s
2006-07-12,4,s
2006-07-13,1,c
2006-07-13,1,c
2006-07-14,1,c
2006-07-14,4,s
2006-07-16,8,c
2006-07-17,1,s
2006-07-18,1,c
2006-07-19,2,c
2006-07-19,2,s
2006-07-20,5,s
2006-07-20,1,s
2006-07-23,1,c
2006-07-23,1,c
2006-07-24,2,s
2006-07-24,2,s
2006-07-25,1,c
2006-07-26,9,s
2006-08-01,1,s
2006-08-01,2,s
2006-08-02,1,c
2006-08-02,1,s
2006-08-03,2,c
2006-08-03,1,c
2006-08-03,3,c
2006-08-03,2,c
2006-08-03,4,s
2006-08-04,1,s
2006-08-04,1,c
2006-08-04,2,c
2006-08-04,2,s
2006-08-05,1,s
2006-08-05,1,s
2006-08-05,3,c
2006-08-06,12,s
2006-08-06,2,c
2006-08-06,1,c
2006-08-07,1,s
2006-08-07,2,s
2006-08-08,2,s
2006-08-08,1,s
2006-08-08,2,s
2006-08-09,15,s
2006-08-10,2,c
2006-08-10,1,s
2006-08-10,1,s
2006-08-11,1,s
2006-08-12,19,s
2006-08-12,5,s
2006-08-13,1,c
2006-08-13,9,s
