time,deaths,critical,severe,moderate,minor,anxiaty,unknown,total
2023-10-26 16:00:00,116,,,580,3924,375,97,5412
2023-11-01 16:25:47,120,28.0,307.0,618,4832,439,108,6452
2023-11-02 09:55:56,120,29.0,309.0,619,4912,440,109,6538
2023-11-05 11:07:34,121,29.0,320.0,635,5267,453,117,6942
2023-11-06 09:56:39,124,29.0,320.0,638,5383,464,117,7075
2023-11-07 11:56:06,125,29.0,320.0,643,5494,478,124,7213
2023-11-09 18:00:53,126,30.0,330.0,663,5735,494,146,7524
2023-11-12 09:55:50,126,31.0,343.0,672,5944,498,157,7771
2023-11-13 18:10:46,131,32.0,348.0,688,6102,511,165,7977
2023-11-14 17:25:39,131,32.0,353.0,696,6252,513,154,8131
2023-11-15 18:11:02,134,32.0,355.0,700,6375,523,144,8263
2023-11-16 18:00:50,127,33.0,363.0,713,6448,529,144,8357
2023-11-19 18:10:51,128,34.0,378.0,740,6693,539,138,8650
2023-11-20 18:10:47,128,34.0,387.0,741,6786,545,141,8762
2023-11-21 17:55:41,128,35.0,387.0,746,6907,544,144,8891
2023-11-22 18:00:38,129,35.0,387.0,751,6984,551,145,8982
2023-11-23 09:55:36,129,35.0,387.0,751,7036,554,146,9038
2023-12-03 18:11:28,128,35.0,398.0,783,7739,575,199,9857
2023-12-04 18:11:29,129,35.0,401.0,806,7846,577,199,9993
2023-12-05 18:11:27,130,36.0,408.0,808,7935,589,202,10108
2023-12-06 17:46:18,129,37.0,413.0,820,8028,595,201,10223
2023-12-07 18:01:59,129,38.0,417.0,833,8102,598,201,10318
2023-12-10 18:01:36,132,40.0,439.0,881,8351,600,205,10648
2023-12-11 18:21:41,133,40.0,444.0,891,8408,600,202,10718
2023-12-12 18:01:42,132,40.0,446.0,902,8501,602,203,10826
2023-12-13 18:02:09,132,40.0,449.0,911,8558,604,203,10897
2023-12-14 17:56:41,132,40.0,456.0,924,8631,605,203,10991
2023-12-17 18:11:58,133,40.0,470.0,937,8877,610,213,11280
2023-12-18 18:02:03,133,41.0,472.0,942,8947,610,215,11360
2023-12-19 18:02:12,133,41.0,473.0,941,9021,610,216,11435
2023-12-20 10:27:14,134,41.0,475.0,947,9062,610,216,11485
