תאריך,מתחילת המלחמה,מתחילת התמרון,מצב מאושפזים נוכחי קל,מצב מאושפזים נוכחי בינוני,מצב מאושפזים נוכחי קשה,פצועים מתחילת המלחמה קל,פצועים מתחילת המלחמה בינוני,פצועים מתחילת המלחמה קשה,פצועים ברצועת עזה קל,פצועים ברצועת עזה בינוני,פצועים ברצועת עזה קשה
2023-12-10,425,97,165,211,40,892,446,255,219,213,127
2023-12-11,433,104,149,210,34,928,456,261,231,218,133
2023-12-12,434,105,149,206,33,955,465,263,238,227,135
2023-12-13,444,115,122,223,30,956,481,267,236,243,139
2023-12-14,445,116,135,236,34,968,498,274,245,257,146
2023-12-15,450,118,133,228,36,960,499,280,238,258,152
2023-12-17,453,121,136,235,44,987,507,289,260,265,159
2023-12-23,477,144,158,250,48,1118,557,321,327,310,189
2023-12-24,486,153,126,258,52,1099,564,325,308,316,193
2023-12-25,489,156,127,265,46,1129,569,325,321,320,193
2023-12-26,492,158,133,262,47,1161,576,329,349,327,198
2023-12-27,498,164,147,267,43,1187,588,335,359,336,203
2023-12-28,501,167,134,262,45,1217,600,342,375,340,206
2023-12-29,502,168,129,258,44,1230,606,344,382,345,209
