lzoc,tzime
"כפר עזה",07-Aug-2022 19:55:57
"סעד",07-Aug-2022 19:55:57
"זמרת, שובה",07-Aug-2022 19:56:01
"נחל עוז",07-Aug-2022 19:56:01
"עלומים",07-Aug-2022 19:56:01
"לוד",07-Aug-2022 19:38:38
"אחיעזר",07-Aug-2022 19:38:38
"זיתן",07-Aug-2022 19:38:38
"יגל",07-Aug-2022 19:38:38
"תל אביב - דרום העיר ויפו",07-Aug-2022 19:38:38
"תל אביב - מרכז העיר",07-Aug-2022 19:38:38
"בת-ים",07-Aug-2022 19:38:38
"חולון",07-Aug-2022 19:38:38
"באר יעקב",07-Aug-2022 19:38:38
"ניר צבי",07-Aug-2022 19:38:38
"תעשיון צריפין",07-Aug-2022 19:38:38
"עלומים",07-Aug-2022 19:39:40
"זמרת, שובה",07-Aug-2022 19:39:42
"כפר מימון ותושיה",07-Aug-2022 19:39:42
"נתיבות",07-Aug-2022 19:39:43
"נצר סרני",07-Aug-2022 19:39:43
"ראשון לציון - מזרח",07-Aug-2022 19:39:43
"רמלה",07-Aug-2022 19:39:43
"ראשון לציון - מערב",07-Aug-2022 19:39:43
"סעד",07-Aug-2022 19:39:48
"שוקדה",07-Aug-2022 19:39:48
"תקומה",07-Aug-2022 19:39:54
"תקומה וחוות יזרעם",07-Aug-2022 19:39:54
"נירים",07-Aug-2022 19:40:07
"כיסופים",07-Aug-2022 19:41:25
"נירים",07-Aug-2022 19:41:37
"עין השלושה",07-Aug-2022 19:41:37
"נחל עוז",07-Aug-2022 19:42:21
"שדרות, איבים, ניר עם",07-Aug-2022 19:42:59
"שדרות, איבים, ניר עם",07-Aug-2022 19:36:23
"אזור תעשייה הדרומי אשקלון",07-Aug-2022 19:34:00
"מבקיעים",07-Aug-2022 19:34:04
"אשקלון - דרום",07-Aug-2022 19:34:04
"זיקים",07-Aug-2022 19:34:18
"יד מרדכי",07-Aug-2022 19:34:18
"כרמיה",07-Aug-2022 19:34:18
"נתיב העשרה",07-Aug-2022 19:34:18
"גבים, מכללת ספיר",07-Aug-2022 19:34:35
"שדרות, איבים, ניר עם",07-Aug-2022 19:34:35
"כפר עזה",07-Aug-2022 19:34:35
"מפלסים",07-Aug-2022 19:34:35
"מטווח ניר עם",07-Aug-2022 19:34:35
"חולית",07-Aug-2022 19:30:35
"סופה",07-Aug-2022 19:30:35
"ניר יצחק",07-Aug-2022 19:30:37
"מבטחים, עמיעוז, ישע",07-Aug-2022 19:25:44
"צוחר, אוהד",07-Aug-2022 19:25:52
"שדה ניצן",07-Aug-2022 19:25:57
"תלמי אליהו",07-Aug-2022 19:25:57
"אזור תעשייה הדרומי אשקלון",07-Aug-2022 19:21:42
"אשקלון - דרום",07-Aug-2022 19:21:42
"יד מרדכי",07-Aug-2022 19:21:43
"כרמיה",07-Aug-2022 19:21:43
"נתיב העשרה",07-Aug-2022 19:21:43
"מבקיעים",07-Aug-2022 19:21:43
"אזור תעשייה צפוני אשקלון",07-Aug-2022 19:21:43
"זיקים",07-Aug-2022 19:21:45
"כרמיה",07-Aug-2022 19:22:44
"זיקים",07-Aug-2022 19:22:51
"יד מרדכי",07-Aug-2022 19:17:21
"נתיב העשרה",07-Aug-2022 19:17:21
"כרם שלום",07-Aug-2022 19:15:30
"כרם שלום",07-Aug-2022 19:00:47
"מפלסים",07-Aug-2022 19:01:15
"סופה",07-Aug-2022 19:01:19
"פרי גן",07-Aug-2022 19:01:19
"ניר יצחק",07-Aug-2022 19:01:20
"שדה אברהם",07-Aug-2022 19:01:25
"חולית",07-Aug-2022 19:01:28
"דקל",07-Aug-2022 19:01:33
"תלמי יוסף",07-Aug-2022 19:01:33
"אבשלום",07-Aug-2022 19:01:41
"יבול",07-Aug-2022 19:01:41
"יתד",07-Aug-2022 19:01:41
"נווה",07-Aug-2022 19:01:41
"סופה",07-Aug-2022 19:03:09
"חולית",07-Aug-2022 19:03:12
"ניר יצחק",07-Aug-2022 19:03:17
"אזור תעשייה הדרומי אשקלון",07-Aug-2022 19:04:27
"זיקים",07-Aug-2022 19:04:30
"כרמיה",07-Aug-2022 19:04:42
"נתיב העשרה",07-Aug-2022 19:04:45
"שדרות, איבים, ניר עם",07-Aug-2022 19:05:50
"מטווח ניר עם",07-Aug-2022 19:05:50
"מפלסים",07-Aug-2022 19:05:50
"כרם שלום",07-Aug-2022 19:07:02
"כרם שלום",07-Aug-2022 18:57:58
"שדרות, איבים, ניר עם",07-Aug-2022 18:58:45
"גבים, מכללת ספיר",07-Aug-2022 18:58:45
"אזור תעשייה הדרומי אשקלון",07-Aug-2022 18:58:49
"אשקלון - דרום",07-Aug-2022 18:58:49
"זיקים",07-Aug-2022 18:58:59
"כרם שלום",07-Aug-2022 18:59:05
"אשקלון - צפון",07-Aug-2022 18:59:12
"נחל עוז",07-Aug-2022 18:49:27
"עלומים",07-Aug-2022 18:49:31
"נחל עוז",07-Aug-2022 18:37:52
"כפר עזה",07-Aug-2022 18:38:03
"סעד",07-Aug-2022 18:38:03
"זמרת, שובה",07-Aug-2022 18:38:05
"עלומים",07-Aug-2022 18:38:05
"שדרות, איבים, ניר עם",07-Aug-2022 18:38:17
"מטווח ניר עם",07-Aug-2022 18:38:30
"מפלסים",07-Aug-2022 18:38:30
"מבטחים, עמיעוז, ישע",07-Aug-2022 18:31:00
"אזור תעשייה הדרומי אשקלון",07-Aug-2022 18:16:34
"זיקים",07-Aug-2022 18:16:41
"זיקים",07-Aug-2022 18:13:39
"אזור תעשייה הדרומי אשקלון",07-Aug-2022 18:13:45
"כרמיה",07-Aug-2022 18:13:58
"נחל עוז",07-Aug-2022 18:14:40
"כפר עזה",07-Aug-2022 18:09:16
"סעד",07-Aug-2022 18:09:24
"זמרת, שובה",07-Aug-2022 18:09:25
"נחל עוז",07-Aug-2022 18:09:25
"עלומים",07-Aug-2022 18:09:25
"כפר עזה",07-Aug-2022 18:05:25
"נחל עוז",07-Aug-2022 17:59:38
"יתד",07-Aug-2022 17:55:22
"שדה אברהם",07-Aug-2022 17:55:22
"דקל",07-Aug-2022 17:55:23
"חולית",07-Aug-2022 17:55:24
"סעד",07-Aug-2022 17:48:02
"ארז",07-Aug-2022 17:28:01
"נתיב העשרה",07-Aug-2022 17:28:01
"שדרות, איבים, ניר עם",07-Aug-2022 17:28:03
"אזור תעשייה הדרומי אשקלון",07-Aug-2022 17:04:30
"אשקלון - דרום",07-Aug-2022 17:04:31
"זיקים",07-Aug-2022 17:04:40
"כרמיה",07-Aug-2022 17:04:40
"נתיב העשרה",07-Aug-2022 17:04:40
"מבקיעים",07-Aug-2022 17:04:45
"בת הדר",07-Aug-2022 17:04:50
"יד מרדכי",07-Aug-2022 17:04:51
"בית שקמה",07-Aug-2022 17:05:08
"אזור תעשייה צפוני אשקלון",07-Aug-2022 17:05:09
"גיאה",07-Aug-2022 17:05:24
"נחל עוז",07-Aug-2022 17:06:40
"מטווח ניר עם",07-Aug-2022 16:53:01
"שדרות, איבים, ניר עם",07-Aug-2022 16:53:06
"מפלסים",07-Aug-2022 16:53:27
"רעים",07-Aug-2022 16:44:09
"נחל עוז",07-Aug-2022 16:27:27
"כרמיה",07-Aug-2022 16:16:27
"נתיב העשרה",07-Aug-2022 16:16:27
"נחל עוז",07-Aug-2022 16:03:19
"כפר עזה",07-Aug-2022 16:03:20
"כפר מימון ותושיה",07-Aug-2022 15:52:45
"עלומים",07-Aug-2022 15:52:45
"זמרת, שובה",07-Aug-2022 15:52:53
"שוקדה",07-Aug-2022 15:52:53
"מבטחים, עמיעוז, ישע",07-Aug-2022 15:48:04
"צוחר, אוהד",07-Aug-2022 15:48:10
"שדה ניצן",07-Aug-2022 15:48:30
"תלמי אליהו",07-Aug-2022 15:48:30
